path,label,spk,text
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0000_11004-11751.wav,-1,F22,"well , okay . [+ exc]"
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0001_13653-17858.wav,-1,F22,the kid is stealing cookies out of the cookie jar right$co for his sister .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0002_18381-19380.wav,-1,F22,he's on a stool .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0003_19403-20943.wav,-1,F22,and he's falling off the stool .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0004_21767-24592.wav,-1,F22,the mother is not paying any attention to them .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0005_24612-27033.wav,-1,F22,"she's doing the dishes , right ."
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0006_27634-29996.wav,-1,F22,<and the> [/] &+w and the [/] the sink is overflowing .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0007_31098-33145.wav,-1,F22,&-um I don't know . [+ exc]
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0008_33220-38545.wav,-1,F22,and <this is> [//] &-uh they're going out the window into the driveway into the garage .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0009_39207-41709.wav,-1,F22,<the window's> [//] look [//] it looks like it's [//] window's open . [+ gram]
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0010_43033-45324.wav,-1,F22,&-um water's on the [/] the &+fri .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0011_45377-47156.wav,-1,F22,and she doesn't know what's going on .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0012_47921-49258.wav,-1,F22,&-um doing the dishes .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0013_50686-57508.wav,-1,F22,"&-um <I guess that was the guy> [//] he's falling off , stealing the cookie jar ."
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0014_58058-59479.wav,-1,F22,stealing cookies for his sister .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0015_60743-61602.wav,-1,F22,falling off xxx .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0016_68311-75043.wav,-1,F22,&-um I don't know xxx she's &+liv but she's alright except &-uh she's not [//] doesn't know what's going over here or over there .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0017_75678-76699.wav,-1,F22,she's way out of it .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0018_78382-85858.wav,-1,F22,<the driveway> [//] <driveway's going> [//] &-uh looks like it [//] driveway's going around the house instead of towards the garage maybe .
/mnt/disk1/ad_group1/Lu/segments/fixed/F22_PAR_0019_86015-86715.wav,-1,F22,I don't know . [+ exc]
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0000_8605-10187.wav,-1,F29,I see a lady looking out the window .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0001_12936-14397.wav,-1,F29,I see a lady looking out the window .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0002_17007-19120.wav,-1,F29,and I see the kid looking at the picture up there .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0004_21478-22900.wav,-1,F29,I see the kid looking at this picture .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0005_24205-33156.wav,-1,F29,"and [/] and I see this little girl watching him , looking up right at him , watching what he's doing , watching him looking at that picture ."
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0006_35361-40628.wav,-1,F29,and he maybe wants to probably either have a picture of it or probably wants to throw it .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0007_42392-44454.wav,-1,F29,maybe he wants to throw this .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0008_46378-49002.wav,-1,F29,"and she's looking at the window , away from the dish ."
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0009_49843-56841.wav,-1,F29,"she's right <at the sink> [//] <the cabinet [/] cabinet> [//] at the cabinet , yeah ."
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0010_56939-57898.wav,-1,F29,she's right at the cabinet .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0011_60365-67574.wav,-1,F29,and maybe she's <thinking til> [//] thinking if anything's gonna come right or wrong .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0012_69697-70178.wav,-1,F29,yeah . [+ exc]
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0013_71982-78636.wav,-1,F29,"and shady thing through the window maybe like if I have a driveway there , if cars go by or if someone could pull in ."
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0014_79797-82681.wav,-1,F29,"if cars pull in or so , yeah ."
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0015_84348-85749.wav,-1,F29,yeah pictures .
/mnt/disk1/ad_group1/Lu/segments/fixed/F29_PAR_0017_87856-88346.wav,-1,F29,yeah &*INV:okay . [+ exc]
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0000_220-1821.wav,-1,F32,doing dangerous things .
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0001_1962-4665.wav,-1,F32,falling off a stool while trying to get cookies .
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0002_5007-10654.wav,-1,F32,I see the lady washing dishes with the water overflowing on the floor .
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0003_12492-15654.wav,-1,F32,I see oh something out the window ?
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0004_16020-18396.wav,-1,F32,&-hm (be)cause are these bushes ?
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0005_19521-20391.wav,-1,F32,not really clear .
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0006_20499-23762.wav,-1,F32,looks like there's a fire out the window but there's probably not .
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0007_25555-28955.wav,-1,F32,&-um is there something else I'm supposta be seeing ? [+ exc]
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0008_29121-30952.wav,-1,F32,she has ugly curtains on her window .
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0009_31104-34890.wav,-1,F32,she's trying to wash [//] dry the dishes while the water's running on the floor .
/mnt/disk1/ad_group1/Lu/segments/fixed/F32_PAR_0010_36231-37030.wav,-1,F32,is that it ? [+ exc]
